start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x2bc5,8,dw,float16,mem,512,0x1831,0.002047,0x1835,0.002054,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2d0f,8,dw,float16,mem,512,0x1847,0.002089,0x1849,0.002092,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2ace,8,dw,float16,mem,512,0x1829,0.002031,0x182e,0.00204,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2439,8,dw,float16,mem,512,0x1804,0.00196,0x1807,0.001966,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d9c,8,dw,float16,mem,512,0x184f,0.002104,0x1853,0.002111,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa857,8,dw,float16,mem,512,0x17a3,0.001864,0x17a9,0.00187,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x1d66,8,dw,float16,mem,512,0x17f0,0.001938,0x17f6,0.001944,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d08,8,dw,float16,mem,512,0x1847,0.002089,0x1849,0.002092,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2da4,8,dw,float16,mem,512,0x184f,0.002104,0x1853,0.002111,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa30b,8,dw,float16,mem,512,0x17c9,0.001901,0x17d0,0.001907,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa5ec,8,dw,float16,mem,512,0x17ba,0.001886,0x17be,0.00189,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x9c1b,8,dw,float16,mem,512,0x17e1,0.001924,0x17e4,0.001926,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2cc5,8,dw,float16,mem,512,0x1842,0.002079,0x1844,0.002083,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2d5e,8,dw,float16,mem,512,0x184b,0.002096,0x184f,0.002104,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x1f0f,8,dw,float16,mem,512,0x17f0,0.001938,0x17fa,0.001947,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x28f5,8,dw,float16,mem,512,0x181d,0.002008,0x181e,0.00201,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2dc0,8,dw,float16,mem,512,0x1854,0.002113,0x1855,0.002115,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2526,8,dw,float16,mem,512,0x1808,0.001968,0x180b,0.001974,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d3f,8,dw,float16,mem,512,0x184b,0.002096,0x184c,0.002098,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xadea,8,dw,float16,mem,512,0x1733,0.001758,0x1739,0.001763,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xadb3,8,dw,float16,mem,512,0x173b,0.001765,0x1740,0.00177,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2418,8,dw,float16,mem,512,0x1804,0.00196,0x1807,0.001966,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xadf2,8,dw,float16,mem,512,0x1733,0.001758,0x1738,0.001762,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa88c,8,dw,float16,mem,512,0x17a3,0.001864,0x17a6,0.001867,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2d63,8,dw,float16,mem,512,0x184b,0.002096,0x184f,0.002104,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa43b,8,dw,float16,mem,512,0x17c1,0.001893,0x17cb,0.001903,-9.54e-06,9.54e-06
